      Skeleton      	num_frames	num_missing
S001C003P002R002A001	    85    	     1     
S001C003P002R002A002	   157    	     1     
S001C003P002R002A003	   120    	     1     
S001C003P002R002A005	    63    	     1     
S001C003P002R002A006	    82    	     1     
S001C003P002R002A007	    80    	     1     
S001C003P002R002A008	    76    	     2     
S001C003P002R002A009	    73    	     2     
S001C003P002R002A010	    89    	     1     
S002C003P010R002A001	    88    	     1     
S002C003P010R002A002	    66    	     1     
S002C003P010R002A003	   104    	     1     
S002C003P010R002A005	    79    	     1     
S002C003P010R002A031	    65    	     1     
S002C003P010R002A034	    54    	     1     
S002C003P010R002A035	    53    	     1     
S005C002P004R001A002	   102    	     1     
S005C002P004R001A005	    69    	     1     
S005C002P004R001A006	    89    	     1     
S005C002P004R001A023	    55    	     1     
S005C002P004R001A024	    66    	     1     
S005C002P004R001A026	    91    	     1     
S005C002P004R002A001	    74    	     1     
S005C002P004R002A003	    86    	     1     
S005C002P004R002A005	    66    	     1     
S005C002P004R002A006	    64    	     1     
S005C002P004R002A007	    61    	     1     
S005C002P004R002A008	    70    	     1     
S005C002P004R002A023	    93    	     1     
S005C002P004R002A024	    67    	     1     
S005C002P004R002A026	   104    	     1     
S005C002P004R002A027	    75    	     1     
S005C002P004R002A029	   115    	     1     
S005C002P004R002A031	    63    	     1     
S005C002P004R002A034	    65    	     1     
S005C002P004R002A035	    69    	     1     
S005C002P004R002A036	    55    	     1     
S005C002P004R002A039	    58    	     1     
S005C002P004R002A040	    84    	     1     
S006C002P016R001A008	    74    	     1     
S007C002P015R001A029	   105    	     1     
S007C002P015R001A031	    57    	     1     
S008C002P035R002A003	    68    	     1     
S008C002P035R002A006	    64    	     1     
S008C002P035R002A007	    49    	     1     
S010C001P018R002A008	    51    	    11     
S013C001P025R002A001	   106    	     1     
S015C003P015R002A008	    40    	     4     
      Skeleton      	num_frames	num_missing
S001C003P002R002A001	    85    	     1     
S001C003P002R002A002	   157    	     1     
S001C003P002R002A003	   120    	     1     
S001C003P002R002A005	    63    	     1     
S001C003P002R002A006	    82    	     1     
S001C003P002R002A007	    80    	     1     
S001C003P002R002A008	    76    	     2     
S001C003P002R002A009	    73    	     2     
S001C003P002R002A010	    89    	     1     
S002C003P010R002A001	    88    	     1     
S002C003P010R002A002	    66    	     1     
S002C003P010R002A003	   104    	     1     
S002C003P010R002A005	    79    	     1     
S002C003P010R002A031	    65    	     1     
S002C003P010R002A034	    54    	     1     
S002C003P010R002A035	    53    	     1     
S005C002P004R001A002	   102    	     1     
S005C002P004R001A005	    69    	     1     
S005C002P004R001A006	    89    	     1     
S005C002P004R001A023	    55    	     1     
S005C002P004R001A024	    66    	     1     
S005C002P004R001A026	    91    	     1     
S005C002P004R002A001	    74    	     1     
S005C002P004R002A003	    86    	     1     
S005C002P004R002A005	    66    	     1     
S005C002P004R002A006	    64    	     1     
S005C002P004R002A007	    61    	     1     
S005C002P004R002A008	    70    	     1     
S005C002P004R002A023	    93    	     1     
S005C002P004R002A024	    67    	     1     
S005C002P004R002A026	   104    	     1     
S005C002P004R002A027	    75    	     1     
S005C002P004R002A029	   115    	     1     
S005C002P004R002A031	    63    	     1     
S005C002P004R002A034	    65    	     1     
S005C002P004R002A035	    69    	     1     
S005C002P004R002A036	    55    	     1     
S005C002P004R002A039	    58    	     1     
S005C002P004R002A040	    84    	     1     
S006C002P016R001A008	    74    	     1     
S007C002P015R001A029	   105    	     1     
S007C002P015R001A031	    57    	     1     
S008C002P035R002A003	    68    	     1     
S008C002P035R002A006	    64    	     1     
S008C002P035R002A007	    49    	     1     
S010C001P018R002A008	    51    	    11     
S013C001P025R002A001	   106    	     1     
S015C003P015R002A008	    40    	     4     
      Skeleton      	num_frames	num_missing
      Skeleton      	num_frames	num_missing
      Skeleton      	num_frames	num_missing
S001C003P002R002A001	    85    	     1     
S001C003P002R002A002	   157    	     1     
S001C003P002R002A003	   120    	     1     
S001C003P002R002A005	    63    	     1     
S001C003P002R002A006	    82    	     1     
S001C003P002R002A007	    80    	     1     
S001C003P002R002A008	    76    	     2     
S001C003P002R002A009	    73    	     2     
S001C003P002R002A010	    89    	     1     
S002C003P010R002A001	    88    	     1     
S002C003P010R002A002	    66    	     1     
S002C003P010R002A003	   104    	     1     
S002C003P010R002A005	    79    	     1     
S002C003P010R002A031	    65    	     1     
S002C003P010R002A034	    54    	     1     
S002C003P010R002A035	    53    	     1     
S005C002P004R001A002	   102    	     1     
S005C002P004R001A005	    69    	     1     
S005C002P004R001A006	    89    	     1     
S005C002P004R001A023	    55    	     1     
S005C002P004R001A024	    66    	     1     
S005C002P004R001A026	    91    	     1     
S005C002P004R002A001	    74    	     1     
S005C002P004R002A003	    86    	     1     
S005C002P004R002A005	    66    	     1     
S005C002P004R002A006	    64    	     1     
S005C002P004R002A007	    61    	     1     
S005C002P004R002A008	    70    	     1     
S005C002P004R002A023	    93    	     1     
S005C002P004R002A024	    67    	     1     
S005C002P004R002A026	   104    	     1     
S005C002P004R002A027	    75    	     1     
S005C002P004R002A029	   115    	     1     
S005C002P004R002A031	    63    	     1     
S005C002P004R002A034	    65    	     1     
S005C002P004R002A035	    69    	     1     
S005C002P004R002A036	    55    	     1     
S005C002P004R002A039	    58    	     1     
S005C002P004R002A040	    84    	     1     
S006C002P016R001A008	    74    	     1     
S007C002P015R001A029	   105    	     1     
S007C002P015R001A031	    57    	     1     
S008C002P035R002A003	    68    	     1     
S008C002P035R002A006	    64    	     1     
S008C002P035R002A007	    49    	     1     
S010C001P018R002A008	    51    	    11     
S013C001P025R002A001	   106    	     1     
S015C003P015R002A008	    40    	     4     
