      Skeleton      	     bodyID      	 Motion 	Length
S001C003P002R002A001	72057594037934093	0.154156	  1   
S001C003P002R002A001	72057594037934193	0.149315	  1   
S001C003P002R002A002	72057594037934093	0.154156	  1   
S001C003P002R002A002	72057594037934193	0.149315	  1   
S001C003P002R002A003	72057594037934093	0.154156	  1   
S001C003P002R002A003	72057594037934193	0.149315	  1   
S001C003P002R002A005	72057594037934439	0.176432	  1   
S001C003P002R002A006	72057594037934439	0.176432	  1   
S001C003P002R002A007	72057594037934439	0.176432	  1   
S001C003P002R002A008	72057594037934439	0.176432	  1   
S001C003P002R002A008	72057594037934584	0.166834	  1   
S001C003P002R002A009	72057594037934439	0.176432	  1   
S001C003P002R002A009	72057594037934584	0.166834	  1   
S001C003P002R002A010	72057594037934439	0.176432	  1   
S002C003P010R002A001	72057594037930361	0.174936	  1   
S002C003P010R002A001	72057594037930360	0.228896	  1   
S002C003P010R002A002	72057594037930361	0.174936	  1   
S002C003P010R002A002	72057594037930360	0.228896	  1   
S002C003P010R002A003	72057594037930361	0.174936	  1   
S002C003P010R002A003	72057594037930360	0.228896	  1   
S002C003P010R002A005	72057594037930361	0.174936	  1   
S002C003P010R002A005	72057594037930360	0.228896	  1   
S002C003P010R002A031	72057594037930854	0.173479	  1   
S002C003P010R002A034	72057594037930854	0.173479	  1   
S002C003P010R002A035	72057594037930854	0.173479	  1   
S004C003P003R001A035	72057594037931618	0.037139	  6   
S005C002P004R001A002	72057594037931915	0.195047	  1   
S005C002P004R001A002	72057594037931959	0.206615	  1   
S005C002P004R001A005	72057594037931915	0.195047	  1   
S005C002P004R001A005	72057594037931959	0.206615	  1   
S005C002P004R001A006	72057594037931915	0.195047	  1   
S005C002P004R001A006	72057594037931959	0.206615	  1   
S005C002P004R001A023	72057594037932862	0.098730	  1   
S005C002P004R001A024	72057594037932862	0.098730	  1   
S005C002P004R001A026	72057594037932862	0.098730	  1   
S005C002P004R002A001	72057594037933025	0.203668	  1   
S005C002P004R002A001	72057594037932876	0.206340	  1   
S005C002P004R002A003	72057594037933202	0.210754	  1   
S005C002P004R002A005	72057594037933202	0.210754	  1   
S005C002P004R002A006	72057594037933202	0.210754	  1   
S005C002P004R002A007	72057594037933202	0.210754	  1   
S005C002P004R002A008	72057594037933202	0.210754	  1   
S005C002P004R002A023	72057594037933212	0.122011	  1   
S005C002P004R002A024	72057594037933212	0.122011	  1   
S005C002P004R002A026	72057594037933212	0.122011	  1   
S005C002P004R002A027	72057594037933212	0.122011	  1   
S005C002P004R002A029	72057594037933212	0.122011	  1   
S005C002P004R002A031	72057594037933212	0.122011	  1   
S005C002P004R002A034	72057594037933212	0.122011	  1   
S005C002P004R002A035	72057594037933212	0.122011	  1   
S005C002P004R002A036	72057594037933212	0.122011	  1   
S005C002P004R002A039	72057594037933212	0.122011	  1   
S005C002P004R002A040	72057594037933212	0.122011	  1   
S006C002P016R001A008	72057594037944587	0.127173	  1   
S007C002P015R001A029	72057594037968830	0.162939	  1   
S007C002P015R001A031	72057594037968830	0.162939	  1   
S008C002P035R002A001	72057594037946690	0.183041	  1   
S008C002P035R002A003	72057594037946664	0.202035	  1   
S008C002P035R002A003	72057594037946690	0.183041	  1   
S008C002P035R002A006	72057594037946664	0.202035	  1   
S008C002P035R002A006	72057594037946690	0.183041	  1   
S008C002P035R002A007	72057594037946664	0.202035	  1   
S008C002P035R002A007	72057594037946690	0.183041	  1   
S010C001P017R001A007	72057594037943225	0.132886	  10  
S010C001P018R002A008	72057594037937067	0.102566	  11  
S013C001P025R002A001	72057594037929378	0.179334	  1   
S013C001P025R002A001	72057594037929450	0.199673	  1   
S015C003P015R002A008	72057594037932373	0.131637	  4   
      Skeleton      	     bodyID      	 Motion 	Length
S001C003P002R002A001	72057594037934093	2.710791	  1   
S001C003P002R002A001	72057594037934193	2.247142	  1   
S001C003P002R002A002	72057594037934093	2.710791	  1   
S001C003P002R002A002	72057594037934193	2.247142	  1   
S001C003P002R002A003	72057594037934093	2.710791	  1   
S001C003P002R002A003	72057594037934193	2.247142	  1   
S001C003P002R002A005	72057594037934439	2.326670	  1   
S001C003P002R002A006	72057594037934439	2.326670	  1   
S001C003P002R002A007	72057594037934439	2.326670	  1   
S001C003P002R002A008	72057594037934439	2.326670	  1   
S001C003P002R002A008	72057594037934584	2.214961	  1   
S001C003P002R002A009	72057594037934439	2.326670	  1   
S001C003P002R002A009	72057594037934584	2.214961	  1   
S001C003P002R002A010	72057594037934439	2.326670	  1   
S002C003P010R002A001	72057594037930361	1.378050	  1   
S002C003P010R002A001	72057594037930360	0.640724	  1   
S002C003P010R002A002	72057594037930361	1.378050	  1   
S002C003P010R002A002	72057594037930360	0.640724	  1   
S002C003P010R002A003	72057594037930361	1.378050	  1   
S002C003P010R002A003	72057594037930360	0.640724	  1   
S002C003P010R002A005	72057594037930361	1.378050	  1   
S002C003P010R002A005	72057594037930360	0.640724	  1   
S002C003P010R002A031	72057594037930854	1.314089	  1   
S002C003P010R002A034	72057594037930854	1.314089	  1   
S002C003P010R002A035	72057594037930854	1.314089	  1   
S004C003P003R001A035	72057594037931618	1.099878	  6   
S005C002P004R001A002	72057594037931915	1.041369	  1   
S005C002P004R001A002	72057594037931959	1.056783	  1   
S005C002P004R001A005	72057594037931915	1.041369	  1   
S005C002P004R001A005	72057594037931959	1.056783	  1   
S005C002P004R001A006	72057594037931915	1.041369	  1   
S005C002P004R001A006	72057594037931959	1.056783	  1   
S005C002P004R001A023	72057594037932862	2.228290	  1   
S005C002P004R001A024	72057594037932862	2.228290	  1   
S005C002P004R001A026	72057594037932862	2.228290	  1   
S005C002P004R002A001	72057594037933025	2.730723	  1   
S005C002P004R002A001	72057594037932876	1.440116	  1   
S005C002P004R002A003	72057594037933202	2.114144	  1   
S005C002P004R002A005	72057594037933202	2.114144	  1   
