      Skeleton      	     bodyID      	 Motion 	  Rate  
S001C001P001R001A024	72057594037931781	0.082263	1.000000
S001C001P001R001A026	72057594037931781	0.064346	0.951456
S001C001P001R001A027	72057594037931781	0.066993	1.000000
S001C001P001R001A029	72057594037931781	0.069684	1.000000
S001C001P002R001A031	72057594037932971	0.082215	0.980769
S001C001P002R001A034	72057594037932971	0.085916	1.000000
S001C001P002R001A035	72057594037932971	0.089098	1.000000
S001C001P002R001A036	72057594037932971	0.085333	0.990385
S001C001P003R001A001	72057594037936103	0.043751	0.838983
S001C001P003R001A031	72057594037936779	0.069408	0.946667
S001C001P003R002A005	72057594037937524	0.052770	1.000000
S001C001P003R002A026	72057594037937632	0.052132	1.000000
S001C001P003R002A027	72057594037937632	0.055716	1.000000
S001C002P005R002A002	72057594037938980	0.040537	1.000000
S001C002P005R002A003	72057594037938980	0.034462	1.000000
S001C002P008R001A024	72057594037942445	0.042501	0.839286
S001C002P008R001A026	72057594037942445	0.040076	0.977011
S001C002P008R001A027	72057594037942445	0.050652	0.965517
S001C002P008R001A029	72057594037942445	0.042764	0.832061
S001C002P008R001A035	72057594037942450	0.079132	1.000000
S001C002P008R001A036	72057594037942450	0.071183	1.000000
S001C002P008R001A039	72057594037942450	0.062425	1.000000
S001C002P008R001A040	72057594037942450	0.065536	1.000000
S001C003P001R001A024	72057594037931407	0.054299	1.000000
S001C003P001R001A026	72057594037931407	0.052359	1.000000
S001C003P001R001A027	72057594037931407	0.052250	1.000000
S001C003P001R001A029	72057594037931407	0.050353	1.000000
S001C003P003R002A026	72057594037937100	0.039892	0.743902
S001C003P003R002A027	72057594037937100	0.038400	1.000000
S001C003P008R002A023	72057594037944570	0.036311	0.847222
S001C003P008R002A024	72057594037944570	0.038539	0.809524
S001C003P008R002A026	72057594037944570	0.035100	0.736264
S001C003P008R002A027	72057594037944570	0.033755	0.844828
S002C001P011R002A007	72057594037935246	0.100180	1.000000
S003C001P002R001A039	72057594037949954	0.072838	0.983333
S003C001P002R001A040	72057594037949954	0.075325	0.962264
S003C001P018R001A039	72057594037938481	0.045605	0.750000
S003C001P018R002A010	72057594037939137	0.058913	0.964286
S003C001P018R002A023	72057594037939145	0.054240	0.984848
S003C002P002R001A010	72057594037952517	0.077384	0.819672
S003C003P002R002A010	72057594037948249	0.069097	0.837209
S003C003P002R002A023	72057594037948250	0.045684	0.827586
S003C003P002R002A024	72057594037948250	0.045980	0.843750
S003C003P002R002A026	72057594037948250	0.049917	0.858824
S003C003P002R002A027	72057594037948250	0.047575	0.774194
S003C003P002R002A029	72057594037948250	0.046002	0.951456
S003C003P002R002A031	72057594037948307	0.043629	1.000000
S003C003P002R002A034	72057594037948307	0.041592	0.981132
S003C003P002R002A035	72057594037948307	0.040834	0.948276
S003C003P002R002A036	72057594037948307	0.041102	1.000000
S003C003P002R002A039	72057594037948307	0.044264	0.953488
S003C003P002R002A040	72057594037948307	0.041157	0.982143
S003C003P008R002A023	72057594037950621	0.069083	1.000000
S003C003P008R002A024	72057594037950621	0.070403	1.000000
S003C003P008R002A026	72057594037950621	0.064861	1.000000
S003C003P008R002A027	72057594037950621	0.072332	1.000000
S003C003P008R002A029	72057594037950621	0.057604	0.983740
S003C003P008R002A031	72057594037950621	0.063469	1.000000
S003C003P008R002A034	72057594037950621	0.067396	0.967742
S003C003P008R002A035	72057594037950621	0.065461	0.962963
S003C003P008R002A036	72057594037950621	0.059730	0.965909
S003C003P008R002A039	72057594037950621	0.057317	0.988235
S003C003P008R002A040	72057594037950621	0.063663	0.936508
S004C001P003R001A035	72057594037933431	0.042899	0.826087
S004C001P007R002A024	72057594037930164	0.041982	0.800000
S004C001P007R002A026	72057594037930164	0.041480	0.857143
S004C001P008R002A010	72057594037930720	0.045298	0.965909
S004C001P020R001A031	72057594037931815	0.037852	0.830986
S004C001P020R001A034	72057594037931815	0.037697	0.933333
S004C001P020R001A035	72057594037931815	0.038826	0.925000
S004C002P008R002A010	72057594037931506	0.040575	0.965909
S004C003P003R001A039	72057594037931618	0.036348	0.924528
S004C003P003R001A040	72057594037931618	0.042372	0.716981
S004C003P008R002A023	72057594037929551	0.069699	1.000000
S004C003P008R002A024	72057594037929551	0.073470	1.000000
S004C003P008R002A026	72057594037929551	0.077185	1.000000
S004C003P008R002A027	72057594037929551	0.079528	1.000000
S004C003P008R002A029	72057594037929551	0.078087	1.000000
S004C003P008R002A031	72057594037929551	0.066286	1.000000
S004C003P008R002A034	72057594037929551	0.070010	1.000000
S004C003P008R002A035	72057594037929551	0.079583	1.000000
S004C003P008R002A036	72057594037929551	0.076080	1.000000
S004C003P008R002A039	72057594037929551	0.072765	1.000000
S004C003P008R002A040	72057594037929551	0.070682	1.000000
S004C003P020R001A001	72057594037929551	0.069597	1.000000
S004C003P020R001A002	72057594037929551	0.073512	1.000000
